110000 Network_Average, 0.021426382109353194 0.007995984463800506 0.006246172497569839 0.005408727423313789 0.025759673351981836 0.07340320434882601 0.013448773882737321 0.008537905198954454 0.00959069720150221 0.03630609353785588 0.10650497032100203 0.00858030947584759 0.008890124602974673 0.00632602093218279 0.03380350890407277 0.1051715606258812 0.011462087156522588 0.015914327794348093 0.022126925607759574 0.005010136403194475 0.15061188717866808 0.017109540562482716 0.024834748429405903 0.016329101118929715 0.031082308079777143 0.08315994359299571 4.290170106928491E-5 9.918342929526979E-5 1.2396394279586288E-4 8.796657918011709E-4 0.004896353085317171 1.5058815533128186E-4 5.873454588683691E-5 6.392780114464792E-5 7.766698203969392E-4 0.0031643694681365883 7.603368248247657E-5 5.3920611003256215E-5 2.4437874950666795E-4 0.0018713677710520639 0.010938493126321313 
120000 Network_Average, 0.019530033935026114 0.0061854964777731175 0.005132023344424051 0.004831110004945854 0.023041767708270364 0.0718662243752895 0.01151637650037445 0.007298013556512565 0.008429780271069012 0.031766945167594755 0.10055234875419712 0.005995195712996987 0.007248531051412952 0.005631043669316568 0.031133772203417752 0.09987233711596567 0.009580122057147353 0.012253760176172048 0.016118438794059962 0.008787779511187687 0.15358596427978397 0.013721245623481418 0.018508920317216945 0.013733599394191501 0.0238792862131243 0.07213281608826803 2.7616658465085223E-5 7.784083620281816E-5 8.868742551573038E-5 6.720283184767536E-4 0.004006664808350546 1.4489868914542833E-4 3.758874224471762E-5 4.167958620616057E-5 4.144235383409409E-4 0.0022504030577187996 5.336317708928351E-5 5.240574162388619E-5 1.7630766124452333E-4 0.0011701600170048237 0.009184390775221086 
130000 Network_Average, 0.017575707609497407 0.00551653201388367 0.004330118113341495 0.004589065823619188 0.019824099012446358 0.06721055256024477 0.010391623383515854 0.007048787358453872 0.007938599970503103 0.026024585000213932 0.09165733218038569 0.004382246223760497 0.0054920347159954615 0.005241717282414392 0.02977186829054616 0.10345811494308857 0.007061427196165907 0.01062320613375992 0.01142238308439981 0.010638413696263827 0.14256563689781904 0.010290798109546691 0.014870542435464072 0.011333674349435758 0.021685116240434347 0.05483637971076478 2.121809503076426E-5 4.1502855511338675E-5 6.408847445594677E-5 4.429957787732874E-4 0.003989785376958347 1.1534181709184941E-4 2.760141122064631E-5 3.113988391462211E-5 3.588323579356329E-4 0.0015114039342886806 3.4051405870979854E-5 2.7549684036886497E-5 1.374839897630469E-4 9.320013332833693E-4 0.007088453255293503 
140000 Network_Average, 0.015255099391805674 0.005183457257249938 0.0035251148078487343 0.003986791791430379 0.016855015662880286 0.060202141023502215 0.009151816428077894 0.005349603182998329 0.006957908687347125 0.02406046157891352 0.0831100373764633 0.004215694184003322 0.004818227094970166 0.004497243173937179 0.02516919338239667 0.09488188019546037 0.005952899462475248 0.008594714489788909 0.010210278080932939 0.013879855972179913 0.13004105335932922 0.008032485012538535 0.012698496254732312 0.009100368335341853 0.01718555967449915 0.031056015346377825 1.3271507820309709E-5 2.2407241911021133E-5 3.094596364001314E-5 4.196681161886626E-4 0.0031653420216672043 7.266763990039232E-5 1.0360876920639198E-5 2.0250745648169017E-5 2.1860380148941327E-4 8.936033060257948E-4 1.8402388713919906E-5 1.3516832130037545E-5 7.064302557517207E-5 7.37182381920919E-4 0.005780798006999888 
150000 Network_Average, 0.014252770272093013 0.00425819257394404 0.0030102563366193997 0.003460081742262652 0.016221545894381482 0.05604046497928004 0.007936847281454131 0.004628613906044018 0.006007901511316716 0.022023492346118046 0.07610695436448114 0.003517882863104795 0.004045650453199682 0.0036341517925989864 0.022910197263139996 0.09156854860315114 0.0038011977292956153 0.008060892206147493 0.009328060637561598 0.00855315296171417 0.11215985362776472 0.006675374981365088 0.01007639359746431 0.006400746522599536 0.015128356626866974 0.054553193042924865 8.540714533923538E-6 1.4151605974415878E-5 2.3944103187537392E-5 2.845509370270621E-4 0.0033091605481118556 3.9989244959352925E-5 7.751871977752105E-6 1.8658615807593097E-5 1.861482158550003E-4 6.699666740960735E-4 1.1245688221533719E-5 1.1436067855379436E-5 3.3068054695139676E-5 5.932874278200938E-4 0.004790907268797226 
160000 Network_Average, 0.014033517072825016 0.0034424282754250556 0.0027746687786337153 0.0031544131553251113 0.01496108621847343 0.06256493148786203 0.006636063663524776 0.004095418164520144 0.00566647922926128 0.019762424994586008 0.06965308436459323 0.0030900341934430634 0.0036076579393904554 0.003112502674099449 0.019666389210066502 0.09991813968489613 0.003327388371329575 0.007209461366629509 0.007773531454925085 0.005670913694144905 0.08896172544762394 0.006229557690974435 0.008519429094111342 0.004541270841634578 0.014173002253003759 0.08352873624706691 6.092199689681229E-6 5.983085773562853E-6 1.8910035267629824E-5 2.1766969386855688E-4 0.003089936659927079 5.0936584197093426E-5 5.866069253778698E-6 1.674587358928012E-5 1.5733872522165378E-4 6.727317618154025E-4 7.900066978920703E-6 8.60492819662115E-6 2.0442713874182676E-5 3.9964982566700733E-4 0.004621136194135766 
170000 Network_Average, 0.012589693698935697 0.0027104515556306214 0.0027047490177667544 0.003221737008958532 0.013027836384720196 0.052258006486185456 0.004537253487295996 0.004375553109184245 0.0059968129312169246 0.017127504180310747 0.06633677914526843 0.0032622405521269284 0.002959975646012814 0.001999717108645776 0.018499607990050054 0.07892556160810818 0.0021057312360130893 0.005848886885173175 0.00615115850192146 0.004847959684158727 0.10170165525043616 0.005375921882915046 0.00684757986444037 0.00430744286432785 0.011162677050586397 0.07102333708548736 3.3716755530451723E-6 7.4435083010471055E-6 1.1285036251055817E-5 1.6512552079915054E-4 0.00195954679207297 3.67781594273913E-5 2.7345399431367378E-6 1.0227738957678394E-5 9.385679805352446E-5 4.5708126286894766E-4 4.557025715094764E-6 4.282235391921712E-6 2.1137943922365127E-5 3.3322180316281173E-4 0.003160961400066525 
180000 Network_Average, 0.009839736972792376 0.0024806154339177978 0.0021128655086891817 0.0023459366207643955 0.012022068016644002 0.04217723107490128 0.003748373159437732 0.0034651218698190647 0.004404376026574798 0.016394719582504342 0.06430464936461046 0.0032270766723200436 0.0019153422159884732 0.0019506885091029671 0.01812423023848385 0.0628348184092581 0.001727241651043562 0.004883342039666489 0.005685162374922772 0.0049783641698151705 0.07545309359181383 0.00429214472041128 0.005573669349215551 0.0034468312546340565 0.010279238033531484 0.029272054883902582 2.3211541909840036E-6 4.969659376569638E-6 6.785675434935642E-6 7.665376659209762E-5 0.002614884834811744 2.074105433784436E-5 1.6338403980225166E-6 1.1584605915461156E-5 4.925805595799488E-5 2.911585771255943E-4 2.475364729904314E-6 1.939851973421512E-6 1.482271865263138E-5 3.124809787994293E-4 0.0030785140014250984 
190000 Network_Average, 0.008759034367987984 0.0028160956776033673 0.0017256774395973315 0.002176414630824368 0.01147414758434405 0.03964843871512565 0.0044445858127042 0.0030013685549137963 0.00387916131724604 0.015421088230654785 0.04755262602119497 0.0028183082215844863 0.0017394361386971304 0.00200930829129137 0.01649018289500759 0.06385348026180526 0.0016546964168792182 0.004573219018066624 0.005021128222550922 0.007583285267796413 0.07744002111557842 0.0044577345663031585 0.005999731947757363 0.003476233947887221 0.0076914913872039884 0.00838892587748854 2.03967692844256E-6 4.820075368582398E-6 4.691850629671356E-6 9.304589480272602E-5 0.0017333142471481085 1.3395999558822798E-5 1.2457730698021061E-6 6.495392781083579E-6 2.9420665821637506E-5 1.3536919967624053E-4 1.666743474868615E-6 1.9265106578555767E-6 1.3032664423418832E-5 2.5551577463864316E-4 0.002728606690433255 
200000 Network_Average, 0.010964234738995127 0.0018972472682872261 0.001629969310125194 0.001460878487918415 0.0128335583657758 0.04708556057270182 0.0029865574743381394 0.002789644860040659 0.0024164140544845987 0.01749717042964134 0.05279470692876637 0.0025880385763390056 0.0014671917159923443 0.0020575767684800814 0.01902983766487408 0.0796350444486324 0.0014110877108719653 0.003547223141487402 0.004372598837702025 0.009534590022658187 0.07750693978099679 0.004208724251544136 0.0038171189550829272 0.002937553550029586 0.010542527187199046 0.06852433266526335 1.415795420043744E-6 2.2935297517431212E-6 2.1801669675732575E-6 7.981007347168378E-5 0.0015927704013239238 8.201697810713768E-6 7.198033395709312E-7 4.861868754478733E-6 2.6593257959769652E-5 1.1471204597085535E-4 1.0301466252449648E-6 1.3209815727394284E-6 6.040273209272528E-6 1.5573239870278577E-4 0.001999614089691818 
